Name,playerid
Kevin Appier,3
Dennis Cook,8
Neftali Feliz,18
Al Levine,20
Ramon Ortiz,27
Troy Percival,29
Scott Schoeneweis,33
Aaron Sele,34
Scot Shields,35
Donne Wall,39
Jarrod Washburn,40
Matt Wise,42
Brian Anderson,44
Miguel Batista,46
Rick Helling,58
Randy Johnson,60
Byung-Hyun Kim,61
Matt Mantei,64
Mike Morgan,67
Mike Myers,68
John Patterson,71
Armando Reynoso,72
Curt Schilling,73
Todd Stottlemyre,75
Greg Swindell,76
Tom Glavine,90
Chris Hammond,92
Darren Holmes,95
Kerry Ligtenberg,100
Albie Lopez,102
Greg Maddux,104
Jason Marquis,105
Kevin Millwood,106
Damian Moss,107
Horacio Ramirez,110
Mike Remlinger,111
John Smoltz,115
Dan Wheeler,120
Rick Bauer,125
Erik Bedard,126
Chris Brock,130
Scott Erickson,137
Buddy Groom,143
Pat Hentgen,145
Jason Johnson,147
Jorge Julio,148
Rodrigo Lopez,150
Sidney Ponson,161
B.J. Ryan,168
Rolando Arrojo,174
Rafael Betancourt,177
John Burkett,179
Frank Castillo,180
Casey Fossum,188
Rich Garces,189
Wayne Gomes,191
Chris Haney,192
Dustin Hermanson,195
Sun-Woo Kim,197
Derek Lowe,199
Pedro Martinez,200
Darren Oliver,206
Ugueth Urbina,216
Tim Wakefield,219
Rocky Biddle,223
Mark Buehrle,225
Keith Foulke,231
Jon Garland,232
Gary Glover,234
Bob Howry,237
Damaso Marte,247
Antonio Osuna,249
Jim Parque,250
Todd Ritchie,253
Dan Wright,258
Antonio Alfonseca,260
Alan Benes,265
Jason Bere,266
Joe Borowski,267
Matt Clement,271
Juan Cruz,273
Kyle Farnsworth,278
Jeff Fassero,279
Tom Gordon,282
Jon Lieber,287
Ron Mahay,290
Pat Mahomes,291
Will Ohman,296
Donovan Osborne,299
Mark Prior,301
Kerry Wood,304
Carlos Zambrano,305
Jose Acevedo,307
Jim Brower,313
Elmer Dessens,317
Danny Graves,326
Joey Hamilton,328
Jimmy Haynes,329
Chris Reitsma,348
Jose Rijo,349
Jose Silva,354
Scott Sullivan,357
Gabe White,360
Scott Williamson,361
Danys Baez,367
Bartolo Colon,375
Ryan Drese,379
Chuck Finley,384
Jose Mercedes,396
Charles Nagy,397
Ricardo Rincon,401
David Riske,402
CC Sabathia,404
Paul Shuey,406
Jake Westbrook,412
Bob Wickman,413
Mark Wohlers,414
Jaret Wright,415
Shawn Chacon,424
Scott Elarton,426
Brian Fuentes,429
Mike Hampton,430
Jason Jennings,434
Jose Jimenez,435
Todd Jones,436
Kent Mercker,439
Denny Neagle,441
Dennys Reyes,444
Victor Santos,446
Justin Speier,451
John Thomson,453
Rick White,456
Juan Acevedo,458
Adam Bernero,460
Nate Cornejo,462
Jose Lima,475
Brian Moehler,480
Jose Paniagua,483
Danny Patterson,485
Mark Redman,491
Fernando Rodney,494
Julio Santana,496
Steve Sparks,499
Jamie Walker,502
Jeff Weaver,503
Josh Beckett,510
A.J. Burnett,512
Vic Darensbourg,516
Ryan Dempster,517
Jason Grilli,521
Braden Looper,526
Vladimir Nunez,532
Brad Penny,535
Julian Tavarez,541
Doug Brocail,551
Nelson Cruz,554
Octavio Dotel,555
Wayne Franklin,557
Brad Lidge,563
Scott Linebrink,564
T.J. Mathews,567
Wade Miller,568
Dave Mlicki,569
C.J. Nitkowski,570
Roy Oswalt,571
Tim Redding,573
Shane Reynolds,574
Billy Wagner,578
Jeremy Affeldt,583
Paul Byrd,594
Jason Grimsley,602
Roberto Hernandez,605
Mike MacDougal,612
Darrell May,613
Dan Reichert,624
Bryan Rekar,625
Brian Shouse,630
Blake Stein,632
Jeff Suppan,633
Andy Ashby,637
Kevin Brown,642
Giovanni Carrara,643
Omar Daal,646
Darren Dreifort,647
Eric Gagne,650
Kazuhisa Ishii,655
Terry Mulholland,665
Hideo Nomo,666
Jesse Orosco,667
Odalis Perez,668
Paul Quantrill,669
Dennis Springer,672
Mike DeJean,682
Nelson Figueroa,683
Ray King,693
Curtis Leskanic,694
Ruben Quevedo,705
Glendon Rusch,707
Ben Sheets,710
Luis Vizcaino,714
Jamey Wright,715
Grant Balfour,718
Eddie Guardado,727
LaTroy Hawkins,729
